product_id,product_name,category,price,is_active
1,Headphones 1,,,True
2,Monitor 2,Accessories,995.7,True
3,Mouse 3,Office,,True
4,Mouse 4,,40.54,True
5,Tablet 5,Accessories,,True
6,Mouse 6,,,False
7,Tablet 7,,,False
8,Laptop 8,Electronics,,True
9,Monitor 9,Electronics,873.6,False
10,Monitor 10,Electronics,,True
11,Laptop 11,Office,,True
12,Headphones 12,,,False
13,Monitor 13,Accessories,348.27,False
14,Tablet 14,,1243.22,True
15,Mouse 15,Accessories,,True
16,Headphones 16,Electronics,,True
17,Monitor 17,Accessories,,False
18,Headphones 18,,,True
19,Phone 19,,1708.14,True
20,Keyboard 20,Office,,True
21,Tablet 21,,556.22,False
22,Monitor 22,,,True
23,Mouse 23,Office,445.82,False
24,Headphones 24,Accessories,1260.21,True
25,Tablet 25,,,False
26,Phone 26,Electronics,,False
27,Keyboard 27,Accessories,,False
28,Mouse 28,Office,,True
29,Tablet 29,Office,,True
30,Keyboard 30,Electronics,290.11,False
31,Monitor 31,,,True
32,Tablet 32,,37.7,True
33,Headphones 33,Office,,True
34,Monitor 34,Accessories,,False
35,Phone 35,Electronics,,False
36,Headphones 36,,242.19,True
37,Headphones 37,,241.08,False
38,Phone 38,,,False
39,Monitor 39,Accessories,1771.97,True
40,Mouse 40,,,True
